[INFO ] [2023-07-18 16:14:41,437] Register Step 01: Navigate to 'Register' page
[INFO ] [2023-07-18 16:14:42,594] Register Step 02: Enter to Firstname textbox with value is 'Dedra'
[INFO ] [2023-07-18 16:14:42,728] Register Step 03: Enter to Lastname textbox with value is 'Hane'
[INFO ] [2023-07-18 16:14:43,168] Register Step 04: Enter to Email textbox with value is 'eustolia.fisher@yahoo.com'
[INFO ] [2023-07-18 16:14:43,370] Register Step 05: Enter to Password textbox with value is 'FdcPv2kTH'
[INFO ] [2023-07-18 16:14:43,473] Register - Step 06: Enter to Confirm Password textbox with value is 'FdcPv2kTH'
[INFO ] [2023-07-18 16:14:53,581] Register - Step 07: Click to 'Register' button
[INFO ] [2023-07-18 16:14:54,369] Register - Step 08: Verify register success message is displayed
[INFO ] [2023-07-18 16:14:54,599] Login - Step 01: Navigate to Login page
[INFO ] [2023-07-18 16:14:55,030] Login - Step 02: Enter to Email textbox with value is 'eustolia.fisher@yahoo.com'
[INFO ] [2023-07-18 16:14:55,133] Login Step 03: Enter to Password textbox with value is 'FdcPv2kTH'
[INFO ] [2023-07-18 16:14:55,247] Login - Step 04: Click to Login button
[INFO ] [2023-07-18 16:14:55,954] Login Step 05: Verify 'My Account' link is displayed
[INFO ] [2023-07-18 16:14:56,017] My Account Step 01: Navigate to 'My Account' page
[INFO ] [2023-07-18 16:14:56,447] My Account Step 02: Verify 'Customer Infor' page is displayed
[INFO ] [2023-07-18 16:14:56,498] My Account Step 03: Verify 'First Name' value is correctly
[INFO ] [2023-07-18 16:14:56,543] My Account Step 04: Verify 'Last Name' value is correctly
[INFO ] [2023-07-18 16:14:56,575] My Account Step 05: Verify 'Email' value is correctly
[INFO ] [2023-07-18 16:14:56,608] OS name = windows 11
[INFO ] [2023-07-18 16:14:56,608] Driver instance name = operadriver: opera on windows (d2abb60bd23ecf5b9b84b39f5cc0b4a2)
[INFO ] [2023-07-18 16:21:55,840] Register Step 01: Navigate to 'Register' page
[INFO ] [2023-07-18 16:21:56,950] Register Step 02: Enter to Firstname textbox with value is 'Karl'
[INFO ] [2023-07-18 16:21:57,085] Register Step 03: Enter to Lastname textbox with value is 'Bartoletti'
[INFO ] [2023-07-18 16:21:57,528] Register Step 04: Enter to Email textbox with value is 'minta.gerhold@gmail.com'
[INFO ] [2023-07-18 16:21:57,713] Register Step 05: Enter to Password textbox with value is '2Z2@NmP*g'
[INFO ] [2023-07-18 16:21:57,818] Register - Step 06: Enter to Confirm Password textbox with value is '2Z2@NmP*g'
[INFO ] [2023-07-18 16:22:07,940] Register - Step 07: Click to 'Register' button
[INFO ] [2023-07-18 16:22:08,628] Register - Step 08: Verify register success message is displayed
[INFO ] [2023-07-18 16:22:08,980] Login - Step 01: Navigate to Login page
